,n@5,n@10,n@20,p@5,p@10,p@20,mrr,map,name,p_method,p_ratio,measure,r_sum,n_docs,gini,time
0,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,cm_10,1749002.0,201641432,0.99811709158,4543.03048396
1,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,cm_20,3692311.0,201641432,0.996788093801,4543.03048396
2,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,cm_50,9521874.0,201641432,0.994198154315,4543.03048396
3,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,cm_100,19236115.0,201641432,0.991591512152,4543.03048396
4,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,gm_0.5,3417895.13583,201641432,0.99270497643,4543.03048396
5,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,gm_1.0,813703.204032,201641432,0.994662493404,4543.03048396
6,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,gm_1.5,274563.033751,201641432,0.996726382955,4543.03048396
7,0.474,0.4705,0.4607,0.5838,0.5628,0.524,0.7427,0.2954,full_index,full_index,0.0,gm_2.0,123397.985551,201641432,0.998088409459,4543.03048396
8,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,cm_10,1749002.0,201641432,0.998104044992,3477.96260715
9,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,cm_20,3692311.0,201641432,0.996761695811,3477.96260715
10,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,cm_50,9521874.0,201641432,0.994146348103,3477.96260715
11,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,cm_100,19236104.0,201641432,0.991519323111,3477.96260715
12,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,gm_0.5,3417893.93816,201641432,0.992637537248,3477.96260715
13,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,gm_1.0,813703.07303,201641432,0.994611379921,3477.96260715
14,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,gm_1.5,274563.018662,201641432,0.996695688796,3477.96260715
15,0.4734,0.4673,0.4558,0.5824,0.5561,0.5159,0.7472,0.2933,dcp_0.1,dcp,0.1,gm_2.0,123397.983688,201641432,0.99807171609,3477.96260715
16,0.4729,0.4684,0.455,0.5824,0.5588,0.5159,0.7489,0.291,dcp_0.2,dcp,0.2,cm_10,1749002.0,201641432,0.998101875632,3141.56057096
